categoria,centroide_lat,centroide_lon,funcion,id,municipio_id,nombre
Localidad simple,-24.1058565563838,-64.823062158756,,38063060,386091.0,EL QUEMADO
Componente de localidad compuesta,-24.2237083446708,-64.8373717906106,,38063070,380196.0,LA ESPERANZA
Localidad simple,-24.191027398496,-64.847140304232,,38063080,386091.0,LA MANGA
Localidad simple,-24.3164922129456,-64.9670192886887,,38063090,380203.0,LA MENDIETA
Componente de localidad compuesta,-24.2247852710015,-64.8201208754984,,38063100,380196.0,MIRAFLORES
Localidad simple,-24.3269093157963,-64.9472509634032,,38063110,386112.0,PALOS BLANCOS
Localidad simple,-24.2364439472659,-64.8448511951718,,38063120,380196.0,PARAPETI
Localidad simple,-24.2961714666534,-64.8821863479763,,38063130,386112.0,PIEDRITAS
Localidad simple,-24.2716140097952,-64.768970964685,,38063140,386105.0,RODEITO
Localidad simple,-24.3085245850739,-64.9316446809993,,38063150,386112.0,ROSARIO DE RIO GRANDE (EX BARRO NEGRO)
Localidad simple,-24.219671559876,-64.8045172910273,,38063160,380196.0,SAN ANTONIO
Localidad simple,-24.2685961573007,-64.8642893202695,,38063170,386105.0,SAN LUCAS
Componente de localidad compuesta,-24.2313021129281,-64.8681693070463,CABECERA_DEPARTAMENTO,38063180,380224.0,SAN PEDRO
Localidad simple,-24.2987583243037,-64.9571556712013,,38063190,380203.0,SAUZAL
Localidad simple,-24.260560497029,-64.4155132039794,,38070010,386098.0,EL FUERTE
Localidad simple,-24.1791481712823,-64.6776330087428,,38070020,386119.0,EL PIQUETE
Localidad simple,-23.5555611045113,-64.3643099072085,,38070030,380238.0,EL TALAR
Localidad simple,-23.9678426401893,-64.3034683351392,,38070040,380245.0,PALMA SOLA
Localidad simple,-24.2725269338812,-64.7161865903698,,38070050,380252.0,PUENTE LAVAYEN
Localidad simple,-24.3078151766845,-64.6610648577922,CABECERA_DEPARTAMENTO,38070060,380252.0,SANTA CLARA
Localidad simple,-23.6681883228337,-64.4131178374229,,38070070,386126.0,VINALITO
Localidad simple,-21.9788187103851,-65.8958558436093,,38077010,386133.0,CASIRA
Localidad simple,-22.1769689683858,-66.4139607069095,,38077020,386140.0,CIENEGA DE PAICONE
Localidad simple,-22.1009002170764,-65.867209693443,,38077030,386133.0,CIENEGUILLAS
Localidad simple,-22.3402234558008,-66.4926397388327,,38077040,386140.0,CUSI CUSI
Localidad simple,-21.8764898712784,-66.1886427089451,,38077045,386147.0,EL ANGOSTO
Localidad simple,-21.9606332568994,-66.263084676456,,38077050,386147.0,LA CIENEGA
Localidad simple,-22.2593865040609,-66.3668608819379,,38077060,386140.0,MISARRUMI
Localidad simple,-22.0991710039884,-66.1325561087962,,38077070,386147.0,ORATORIO
Localidad simple,-22.2193202745887,-66.4252604137157,,38077080,386140.0,PAICONE
Localidad simple,-22.2243859011206,-66.2489981842614,,38077090,386140.0,SAN JUAN DE OROS
Localidad simple,-21.9457402673178,-66.0524460482788,CABECERA_DEPARTAMENTO,38077100,386147.0,SANTA CATALINA
Localidad simple,-22.1671932548934,-66.0247356350831,,38077110,386133.0,YOSCABA
Localidad simple,-23.8697878292198,-67.0052751921339,,38084010,386154.0,CATUA
Localidad simple,-23.0145482730193,-66.3666374411625,,38084020,386161.0,CORANZULI
Localidad simple,-23.0836526940797,-66.7015910904292,,38084030,386161.0,EL TORO
Localidad simple,-23.5638430752997,-66.4093156495626,,38084040,386168.0,HUANCAR
Localidad simple,-23.2381696240536,-67.0272646457146,,38084045,386161.0,JAMA
