id_registro,productos
254,CAÑA DE AZUCAR
255,CAMPO NATURAL
255,ALFALFA
256,CHIA (SALVIA HISPANICA L)
256,CAMPO NATURAL
257,CAÑA DE AZUCAR
257,MAIZ PISINGALLO
257,MAIZ
257,POROTO COLORADO
257,POROTO NEGRO
258,ALZA MELARIA
259,CAÑA DE AZUCAR
259,INCULTO
260,CHIA (SALVIA HISPANICA L)
260,MONTE
261,CAÑA DE AZUCAR
262,CAÑA DE AZUCAR
263,TRIGO
264,CAÑA DE AZUCAR
264,MONTE
265,CAÑA DE AZUCAR
265,INCULTO
266,CAÑA DE AZUCAR
267,CAÑA DE AZUCAR
267,INCULTO
268,CAÑA DE AZUCAR
268,MONTE
268,CAMPO NATURAL
269,CAÑA DE AZUCAR
269,FORESTALES
269,INCULTO
270,SESAMO
270,POROTO NEGRO
270,MONTE
270,POROTO COLORADO
270,CHIA (SALVIA HISPANICA L)
271,GIRASOL
271,POROTO MUNG
272,COLMENAS
272,NUCLEOS
272,ALZA MELARIA
273,ALZA MELARIA
273,COLMENAS
273,NUCLEOS
274,VID
274,OLIVOS
275,VID
275,OLIVOS
276,VID
276,OLIVOS
277,JOJOBA
278,JOJOBA
279,MONTE
279,OLIVO
279,GRANADO
279,ALGARROBO
279,LAUREL
280,VID
281,VID
281,OLIVOS
282,VID
282,OLIVOS
283,VID
283,NOGALES
284,VID
284,OLIVOS
285,OLIVOS
286,VID
286,OLIVOS
287,OLIVOS
288,PASAS DE UVA
289,VID
289,OLIVOS
290,JOJOBA
291,VID
292,VD
292,OLIVOS
293,VID
294,VID
294,OLIVOS
295,VID
295,OLIVOS
296,OLIVO
296,PEREJIL
296,AJI
296,ACEITUNAS
296,INCULTO
297,VID
298,VID
298,OLIVOS
299,NOGALES
299,CASTAÑA
300,OLIVOS
300,VID
300,MELON
300,SANDIA
300,TOMATE
300,MAIZ
300,ZAPALLO
300,BATATA
301,VID
301,OLIVOS
302,OLIVOS
303,OLIVOS
304,VID
304,OLIVOS
305,VID
306,JOJOBA
307,VID
308,ESPARRAGOS
308,AJO
308,ABONO VERDE
309,VID
310,DESCANSO
311,UVAS
312,MANZANA
312,ZAPALLO
312,ZANAHORIA
312,CEBOLLA
312,ECHALOTTE
312,INCULTO
312,ZAPALLO ANCO
312,AJO
312,DESCANSO
312,BROCOLI
312,CAMPO NATURAL
313,VID
314,VID
315,VID
315,INCULTO
315,ALFALFA
316,UVAS
317,UVAS
318,DESCANSO
318,ZAPALLO
318,AJO
318,INCULTO
319,DESCANSO
319,AJO
319,INCULTO
319,CAMPO NATURAL
319,ZAPALLO
320,INCULTO
320,NUEZ PECAN
320,HIGOS
320,VID
320,OLIVO
320,CIRUELA
320,CEREZA
320,PERA
320,MANZANA
320,DURAZNO
320,DAMASCO
321,VID
322,VID
322,DAMASCO
322,CIRUELA
322,INCULTO
322,OLIVO
322,DURAZNO
322,CAMPO NATURAL
323,DESCANSO
323,AJO
323,INCULTO
324,VID
325,UVAS
326,VID
327,VID
328,VID
329,UVAS
330,UVAS
331,UVAS
332,UVAS
333,UVAS
334,VID
335,VID
335,INCULTO
336,VID
336,INCULTO
337,INCULTO
337,ABONO VERDE
337,CAMPO NATURAL
338,VID
339,VID
340,CAÑA DE CASTILLA
341,CAÑA DE CASTILLA
342,CAÑA DE CASTILLA
343,CAÑA DE CASTILLA
344,UVAS
345,VID
345,OLIVOS
346,VID
346,OLIVOS
347,AJO
347,ZAPALLO
348,UVAS
348,ACEITUNAS
349,INCULTO
349,ZAPALLO
349,ABONO VERDE
349,AJO
349,DESCANSO
349,CEBOLLA
349,PAPA
350,INCULTO
350,CIRUELA
350,ZAPALLO
350,OLIVO
350,TOMATE
351,VID
352,VID
353,VID
354,HORTALIZAS
355,VID
356,UVAS
357,UVAS
358,UVAS
359,VID
360,DAMASCO
360,UVA DE MESA
360,INCULTO
361,VID
361,INCULTO
362,CENTENO
362,PASTIZAL NATURAL
363,VID
364,VID
365,VID
366,ACEITUNAS
367,UVAS
368,UVAS
369,CIRUELA
369,ACEITUNAS
369,FORESTALES
369,CAMPO NATURAL
370,VID
371,VID
372,VID
372,DAMASCO
373,VID
373,CAMPO NATURAL
374,ZAPALLO
374,DESCANSO
374,ZANAHORIA
375,UVAS
376,UVAS PARA VINIFICAR
377,UVAS PARA VINIFICAR
378,NOGAL
378,MONTE
378,INCULTO
379,VID
380,VID
381,CIRUELAS
381,ACEITUNAS
381,UVAS
382,VID
382,NUEZ
383,ACEITUNAS
383,UVAS
384,ACEITUNAS
384,CIRUELAS
384,DAMASCOS
384,NUECES
385,VID
386,VID
387,CIRUELA
387,INCULTO
387,DURAZNO
387,VID
387,OLIVO
387,CAMPO NATURAL
388,VID
389,VID
389,INCULTO
389,CAMPO NATURAL
390,UVAS
391,UVAS PARA VINIFICAR
392,UVAS PARA VINIFICAR
393,UVAS PARA VINIFICAR
394,UVAS
395,VID
396,MIEL
397,VID
397,OLIVOS
398,VID
398,NOGAL
398,INCULTO
399,VID
400,OLIVOS
400,DAMASCO
400,CIRUELA
401,VID
401,OLIVOS
402,INCULTO
402,OLIVO
402,VID
403,VID
403,OLIVOS
404,UVAS
405,UVAS
406,UVAS
407,UVAS
408,ABONO VERDE
408,AJO
409,AJO
409,ABONO VERDE
410,UVAS
410,AROMATICAS
411,ESPARRAGO
412,VID
412,NOGAL
412,INCULTO
412,OLIVO
412,ALFALFA
413,VID
414,CIRUELA
414,INCULTO
414,CIRUELA DESECADA
415,AJO
415,CEBOLLA
415,CAMPO NATURAL
415,INCULTO
416,UVAS PARA VINIFICAR
416,UVAS FRESCAS (MESA)
417,VID
417,ACEITUNAS
417,INCULTO
418,CIRUELAS
418,UVAS
418,ACEITUNAS
419,VID
419,INCULTO
419,MEMBRILLO
420,CEREZA
421,ZAPALLO
421,CHOCLO
422,UVAS PARA VINIFICAR
423,VID
423,INCULTO
424,UVAS
425,UVAS
426,UVAS
427,VID
428,VID
429,VID
430,VID
431,OLIVO
432,CIRUELA
432,VID
432,INCULTO
432,CAMPO NATURAL
433,VID
434,VID
435,VID
436,VID
436,OLIVOS
437,VID
438,VINO
438,UVAS
438,ACEITUNAS
439,CAÑA DE AZUCAR
440,CAÑA DE AZUCAR
441,CAÑA DE AZUCAR
442,CAÑA DE AZUCAR
443,CAÑA DE AZUCAR
444,CAÑA DE AZUCAR
445,CAÑA DE AZUCAR
446,CAÑA DE AZUCAR
447,CAÑA DE AZUCAR
448,CAÑA DE AZUCAR
449,CAÑA DE AZUCAR
450,LIMON
450,MANDARINA
450,NARANJA
450,PONELO
450,ANANA
451,CAÑA DE AZUCAR
452,YERBA MATE
453,YERBA MATE
454,CAÑA DE AZUCAR
455,CAÑA DE AZUCAR
456,CAÑA DE AZUCAR
457,CAÑA DE AZUCAR
458,CAÑA DE AZUCAR
459,CAÑA DE AZUCAR
460,CAÑA DE AZUCAR
461,CAÑA DE AZUCAR
462,CAÑA DE AZUCAR
463,CAÑA DE AZUCAR
464,CAÑA DE AZUCAR
