id_registro,rubro
637,AGRICULTURA
638,AGRICULTURA
639,AGRICULTURA
640,AGRICULTURA
641,AGRICULTURA
642,GANADERIA
643,AGRICULTURA
644,FRUTICULTURA
645,FRUTICULTURA
646,FRUTICULTURA
647,FRUTICULTURA
648,FRUTICULTURA
649,FRUTICULTURA
650,FRUTICULTURA
651,FRUTICULTURA
652,FRUTICULTURA
653,FRUTICULTURA
654,FRUTICULTURA
655,FRUTICULTURA
656,FRUTICULTURA
657,FRUTICULTURA
658,FRUTICULTURA
659,FRUTICULTURA
660,FRUTICULTURA
661,FRUTICULTURA
662,FRUTICULTURA
663,FRUTICULTURA
664,FRUTICULTURA
665,FRUTICULTURA
666,FRUTICULTURA
667,FRUTICULTURA
668,FRUTICULTURA
669,FRUTICULTURA
670,FRUTICULTURA
671,FRUTICULTURA
672,FRUTICULTURA
673,FRUTICULTURA
674,FRUTICULTURA
675,FRUTICULTURA
676,FRUTICULTURA
677,FRUTICULTURA
678,FRUTICULTURA
679,FRUTICULTURA
680,FRUTICULTURA
681,FRUTICULTURA
682,FRUTICULTURA
683,FRUTICULTURA
684,FRUTICULTURA
685,FRUTICULTURA
686,FRUTICULTURA
687,FRUTICULTURA
688,FRUTICULTURA
689,FRUTICULTURA
690,FRUTICULTURA
691,FRUTICULTURA
692,FRUTICULTURA
693,FRUTICULTURA
694,FRUTICULTURA
695,FRUTICULTURA
696,FRUTICULTURA
697,FRUTICULTURA
698,GANADERIA
699,FRUTICULTURA
700,FRUTICULTURA
701,FRUTICULTURA
702,FRUTICULTURA
703,AGRICULTURA
704,FRUTICULTURA
705,FRUTICULTURA
706,FRUTICULTURA
707,FRUTICULTURA
708,FRUTICULTURA
709,FRUTICULTURA
710,FRUTICULTURA
711,FRUTICULTURA
712,FRUTICULTURA
713,FRUTICULTURA
714,FRUTICULTURA
715,FRUTICULTURA
716,FRUTICULTURA
717,FRUTICULTURA
718,FRUTICULTURA
719,GANADERIA
720,FRUTICULTURA
721,FRUTICULTURA
722,FRUTICULTURA
723,GANADERIA
724,FRUTICULTURA
725,FRUTICULTURA
726,FRUTICULTURA
727,FRUTICULTURA
728,FRUTICULTURA
729,FRUTICULTURA
730,FRUTICULTURA
731,FRUTICULTURA
732,FRUTICULTURA
733,FRUTICULTURA
734,FRUTICULTURA
735,FRUTICULTURA
736,FRUTICULTURA
737,FRUTICULTURA
738,FRUTICULTURA
739,FRUTICULTURA
740,FRUTICULTURA
741,FRUTICULTURA
742,FRUTICULTURA
743,FRUTICULTURA
744,FRUTICULTURA
745,FRUTICULTURA
746,FRUTICULTURA
747,FRUTICULTURA
748,FRUTICULTURA
749,FRUTICULTURA
750,FRUTICULTURA
751,FRUTICULTURA
752,FRUTICULTURA
753,FRUTICULTURA
754,FRUTICULTURA
754,HORTICULTURA
755,FRUTICULTURA
755,HORTICULTURA
756,FRUTICULTURA
756,HORTICULTURA
757,FRUTICULTURA
757,HORTICULTURA
758,FRUTICULTURA
759,FRUTICULTURA
759,HORTICULTURA
760,FRUTICULTURA
761,FRUTICULTURA
762,FRUTICULTURA
762,HORTICULTURA
763,FRUTICULTURA
764,AGRICULTURA
765,AGRICULTURA
766,FRUTICULTURA
767,FRUTICULTURA
768,FRUTICULTURA
769,FRUTICULTURA
770,GANADERIA
771,FRUTICULTURA
772,FRUTICULTURA
773,FRUTICULTURA
774,FRUTICULTURA
775,FRUTICULTURA
776,FRUTICULTURA
777,FRUTICULTURA
778,FRUTICULTURA
779,FRUTICULTURA
780,FRUTICULTURA
781,FRUTICULTURA
782,FRUTICULTURA
783,FRUTICULTURA
785,FRUTICULTURA
786,FRUTICULTURA
787,FRUTICULTURA
788,FRUTICULTURA
789,FRUTICULTURA
790,FRUTICULTURA
791,FRUTICULTURA
792,FRUTICULTURA
793,FRUTICULTURA
794,FRUTICULTURA
795,FRUTICULTURA
796,FRUTICULTURA
797,FRUTICULTURA
798,FRUTICULTURA
799,FRUTICULTURA
800,FRUTICULTURA
801,FRUTICULTURA
802,FRUTICULTURA
803,FRUTICULTURA
804,FRUTICULTURA
805,FRUTICULTURA
806,FRUTICULTURA
807,FRUTICULTURA
808,FRUTICULTURA
809,FRUTICULTURA
810,FRUTICULTURA
811,FRUTICULTURA
812,FRUTICULTURA
813,FRUTICULTURA
814,FRUTICULTURA
815,FRUTICULTURA
816,GANADERIA
817,FRUTICULTURA
818,FRUTICULTURA
819,FRUTICULTURA
819,HORTICULTURA
820,FRUTICULTURA
821,FRUTICULTURA
822,FRUTICULTURA
823,FRUTICULTURA
824,FRUTICULTURA
825,FRUTICULTURA
826,FRUTICULTURA
827,FRUTICULTURA
828,FRUTICULTURA
829,FRUTICULTURA
830,FRUTICULTURA
831,FRUTICULTURA
832,FRUTICULTURA
833,FRUTICULTURA
834,FRUTICULTURA
835,AGRICULTURA
836,AGRICULTURA
837,AGRICULTURA
838,AGRICULTURA
839,FRUTICULTURA
840,AGRICULTURA
841,AGRICULTURA
842,AGRICULTURA
843,AGRICULTURA
844,AGRICULTURA
845,AGRICULTURA
846,AGRICULTURA
847,AGRICULTURA
848,AGRICULTURA
849,AGRICULTURA
850,GANADERIA
850,FRUTICULTURA
851,AGRICULTURA
852,AGRICULTURA
854,AGRICULTURA
855,AGRICULTURA
856,AGRICULTURA
857,AGRICULTURA
858,AGRICULTURA
859,AGRICULTURA
860,FRUTICULTURA
861,AGRICULTURA
862,AGRICULTURA
863,AGRICULTURA
864,FRUTICULTURA
864,HORTICULTURA
865,AGRICULTURA
866,AGRICULTURA
867,AGRICULTURA
868,AGRICULTURA
869,FRUTICULTURA
869,AGRICULTURA
870,HORTICULTURA
871,AGRICULTURA
872,FRUTICULTURA
873,FRUTICULTURA
874,FRUTICULTURA
874,HORTICULTURA
875,FRUTICULTURA
875,HORTICULTURA
876,FRUTICULTURA
876,HORTICULTURA
877,FRUTICULTURA
877,HORTICULTURA
878,FRUTICULTURA
880,FRUTICULTURA
881,FRUTICULTURA
882,FRUTICULTURA
883,FRUTICULTURA
884,FRUTICULTURA
885,FRUTICULTURA
886,HORTICULTURA
887,FRUTICULTURA
887,HORTICULTURA
888,FRUTICULTURA
889,FRUTICULTURA
889,HORTICULTURA
890,FRUTICULTURA
890,HORTICULTURA
891,FRUTICULTURA
891,HORTICULTURA
892,FRUTICULTURA
892,HORTICULTURA
893,FRUTICULTURA
893,HORTICULTURA
894,FRUTICULTURA
894,HORTICULTURA
895,FRUTICULTURA
895,HORTICULTURA
896,FRUTICULTURA
897,FRUTICULTURA
897,HORTICULTURA
898,FRUTICULTURA
899,FRUTICULTURA
900,FRUTICULTURA
900,HORTICULTURA
901,FRUTICULTURA
902,FRUTICULTURA
903,GANADERIA
904,GANADERIA
905,HORTICULTURA
906,AGRICULTURA
907,FRUTICULTURA
